SplitRatio,LearningRate,Epochs,Accuracy
0.9,0.050,20,50.00
0.9,0.050,20,50.00
0.9,0.050,20,50.00
0.9,0.050,50,70.00
0.9,0.050,50,70.00
0.9,0.050,50,70.00
0.9,0.050,50,60.00
0.9,0.050,50,70.00
0.9,0.050,50,60.00
0.9,0.050,50,70.00
0.9,0.050,50,70.00
0.9,0.050,50,70.00
0.9,0.050,50,70.00
0.9,0.050,80,70.00
0.9,0.050,80,100.00
0.9,0.050,80,60.00
0.9,0.050,80,60.00
0.9,0.050,80,100.00
0.9,0.050,80,70.00
0.9,0.050,80,90.00
0.9,0.050,80,100.00
0.9,0.050,80,60.00
0.9,0.050,80,60.00
0.9,0.050,100,70.00
0.9,0.050,100,60.00
0.9,0.050,100,60.00
0.9,0.050,100,60.00
0.9,0.050,100,70.00
0.9,0.050,100,70.00
0.9,0.050,100,70.00
0.9,0.050,100,70.00
0.9,0.050,100,100.00
0.9,0.050,100,70.00
0.9,0.050,120,100.00
0.9,0.050,120,80.00
0.9,0.050,120,100.00
0.9,0.050,120,70.00
0.9,0.050,120,80.00
0.9,0.050,120,90.00
0.9,0.050,120,70.00
0.9,0.050,120,70.00
0.9,0.050,120,70.00
0.9,0.050,120,90.00
0.9,0.050,150,100.00
0.9,0.050,150,70.00
0.9,0.050,150,100.00
0.9,0.050,150,100.00
0.9,0.050,150,100.00
0.9,0.050,150,90.00
0.9,0.050,150,100.00
0.9,0.050,150,80.00
0.9,0.050,150,100.00
0.9,0.050,150,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,200,100.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.050,300,80.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.050,300,100.00
0.9,0.020,20,50.00
0.9,0.020,20,60.00
0.9,0.020,20,50.00
0.9,0.020,20,50.00
0.9,0.020,20,60.00
0.9,0.020,20,50.00
0.9,0.020,20,50.00
0.9,0.020,20,50.00
0.9,0.020,20,50.00
0.9,0.020,20,50.00
0.9,0.020,50,60.00
0.9,0.020,50,80.00
0.9,0.020,50,100.00
0.9,0.020,50,90.00
0.9,0.020,50,60.00
0.9,0.020,50,90.00
0.9,0.020,50,60.00
0.9,0.020,50,80.00
0.9,0.020,50,60.00
0.9,0.020,50,60.00
0.9,0.020,80,100.00
0.9,0.020,80,60.00
0.9,0.020,80,60.00
0.9,0.020,80,100.00
0.9,0.020,80,80.00
0.9,0.020,80,60.00
0.9,0.020,80,70.00
0.9,0.020,80,60.00
0.9,0.020,80,60.00
0.9,0.020,80,60.00
0.9,0.020,100,60.00
0.9,0.020,100,80.00
0.9,0.020,100,100.00
0.9,0.020,100,60.00
0.9,0.020,100,60.00
0.9,0.020,100,70.00
0.9,0.020,100,70.00
0.9,0.020,100,70.00
0.9,0.020,100,70.00
0.9,0.020,100,70.00
0.9,0.020,120,100.00
0.9,0.020,120,70.00
0.9,0.020,120,100.00
0.9,0.020,120,100.00
0.9,0.020,120,70.00
0.9,0.020,120,60.00
0.9,0.020,120,70.00
0.9,0.020,120,100.00
0.9,0.020,120,60.00
0.9,0.020,120,80.00
0.9,0.020,150,80.00
0.9,0.020,150,80.00
0.9,0.020,150,80.00
0.9,0.020,150,100.00
0.9,0.020,150,90.00
0.9,0.020,150,100.00
0.9,0.020,150,100.00
0.9,0.020,150,80.00
0.9,0.020,150,100.00
0.9,0.020,150,100.00
0.9,0.020,200,100.00
0.9,0.020,200,100.00
0.9,0.020,200,100.00
0.9,0.020,200,80.00
0.9,0.020,200,80.00
0.9,0.020,200,100.00
0.9,0.020,200,100.00
0.9,0.020,200,100.00
0.9,0.020,200,100.00
0.9,0.020,200,90.00
0.9,0.020,300,100.00
0.9,0.020,300,90.00
0.9,0.020,300,100.00
0.9,0.020,300,90.00
0.9,0.020,300,100.00
0.9,0.020,300,100.00
0.9,0.020,300,100.00
0.9,0.020,300,100.00
0.9,0.020,300,80.00
0.9,0.020,300,100.00
0.9,0.010,20,70.00
0.9,0.010,20,50.00
0.9,0.010,20,50.00
0.9,0.010,20,50.00
0.9,0.010,20,60.00
0.9,0.010,20,80.00
0.9,0.010,20,50.00
0.9,0.010,20,50.00
0.9,0.010,20,70.00
0.9,0.010,20,50.00
0.9,0.010,50,70.00
0.9,0.010,50,60.00
0.9,0.010,50,60.00
0.9,0.010,50,70.00
0.9,0.010,50,70.00
0.9,0.010,50,70.00
0.9,0.010,50,80.00
0.9,0.010,50,50.00
0.9,0.010,50,80.00
0.9,0.010,50,60.00
0.9,0.010,80,60.00
0.9,0.010,80,70.00
0.9,0.010,80,60.00
0.9,0.010,80,70.00
0.9,0.010,80,70.00
0.9,0.010,80,70.00
0.9,0.010,80,60.00
0.9,0.010,80,70.00
0.9,0.010,80,70.00
0.9,0.010,80,60.00
0.9,0.010,100,60.00
0.9,0.010,100,70.00
0.9,0.010,100,100.00
0.9,0.010,100,60.00
0.9,0.010,100,70.00
0.9,0.010,100,80.00
0.9,0.010,100,90.00
0.9,0.010,100,60.00
0.9,0.010,100,70.00
0.9,0.010,100,100.00
0.9,0.010,120,60.00
0.9,0.010,120,70.00
0.9,0.010,120,70.00
0.9,0.010,120,80.00
0.9,0.010,120,100.00
0.9,0.010,120,100.00
0.9,0.010,120,100.00
0.9,0.010,120,70.00
0.9,0.010,120,70.00
0.9,0.010,120,100.00
0.9,0.010,150,90.00
0.9,0.010,150,100.00
0.9,0.010,150,70.00
0.9,0.010,150,90.00
0.9,0.010,150,90.00
0.9,0.010,150,100.00
0.9,0.010,150,80.00
0.9,0.010,150,90.00
0.9,0.010,150,80.00
0.9,0.010,150,100.00
0.9,0.010,200,100.00
0.9,0.010,200,100.00
0.9,0.010,200,90.00
0.9,0.010,200,100.00
0.9,0.010,200,100.00
0.9,0.010,200,80.00
0.9,0.010,200,100.00
0.9,0.010,200,100.00
0.9,0.010,200,90.00
0.9,0.010,200,100.00
0.9,0.010,300,100.00
0.9,0.010,300,100.00
0.9,0.010,300,100.00
0.9,0.010,300,80.00
0.9,0.010,300,90.00
0.9,0.010,300,100.00
0.9,0.010,300,100.00
0.9,0.010,300,100.00
0.9,0.010,300,100.00
0.9,0.010,300,100.00
0.9,0.005,20,50.00
0.9,0.005,20,70.00
0.9,0.005,20,50.00
0.9,0.005,20,100.00
0.9,0.005,20,50.00
0.9,0.005,20,50.00
0.9,0.005,20,50.00
0.9,0.005,20,50.00
0.9,0.005,20,50.00
0.9,0.005,20,100.00
0.9,0.005,50,50.00
0.9,0.005,50,70.00
0.9,0.005,50,60.00
0.9,0.005,50,100.00
0.9,0.005,50,50.00
0.9,0.005,50,60.00
0.9,0.005,50,60.00
0.9,0.005,50,60.00
0.9,0.005,50,100.00
0.9,0.005,50,70.00
0.9,0.005,80,90.00
0.9,0.005,80,80.00
0.9,0.005,80,70.00
0.9,0.005,80,70.00
0.9,0.005,80,60.00
0.9,0.005,80,60.00
0.9,0.005,80,70.00
0.9,0.005,80,90.00
0.9,0.005,80,90.00
0.9,0.005,80,70.00
0.9,0.005,100,60.00
0.9,0.005,100,60.00
0.9,0.005,100,60.00
