Epoch,TrainingScenario,Accuracy
65,Virginica vs Rest,100.00
65,Setosa vs Versicolor,100.00
65,Setosa vs Virginica,100.00
65,Versicolor vs Virginica,100.00
65,Multi-Class (All 3),100.00
66,Setosa vs Rest,100.00
66,Versicolor vs Rest,0.00
66,Virginica vs Rest,100.00
66,Setosa vs Versicolor,100.00
66,Setosa vs Virginica,100.00
66,Versicolor vs Virginica,100.00
66,Multi-Class (All 3),100.00
67,Setosa vs Rest,100.00
67,Versicolor vs Rest,0.00
67,Virginica vs Rest,100.00
67,Setosa vs Versicolor,100.00
67,Setosa vs Virginica,100.00
67,Versicolor vs Virginica,100.00
67,Multi-Class (All 3),100.00
68,Setosa vs Rest,100.00
68,Versicolor vs Rest,0.00
68,Virginica vs Rest,100.00
68,Setosa vs Versicolor,100.00
68,Setosa vs Virginica,100.00
68,Versicolor vs Virginica,100.00
68,Multi-Class (All 3),100.00
69,Setosa vs Rest,100.00
69,Versicolor vs Rest,0.00
69,Virginica vs Rest,100.00
69,Setosa vs Versicolor,100.00
69,Setosa vs Virginica,100.00
69,Versicolor vs Virginica,100.00
69,Multi-Class (All 3),100.00
70,Setosa vs Rest,100.00
70,Versicolor vs Rest,0.00
70,Virginica vs Rest,100.00
70,Setosa vs Versicolor,100.00
70,Setosa vs Virginica,100.00
70,Versicolor vs Virginica,100.00
70,Multi-Class (All 3),100.00
71,Setosa vs Rest,100.00
71,Versicolor vs Rest,0.00
71,Virginica vs Rest,100.00
71,Setosa vs Versicolor,100.00
71,Setosa vs Virginica,100.00
71,Versicolor vs Virginica,100.00
71,Multi-Class (All 3),100.00
72,Setosa vs Rest,100.00
72,Versicolor vs Rest,0.00
72,Virginica vs Rest,100.00
72,Setosa vs Versicolor,100.00
72,Setosa vs Virginica,100.00
72,Versicolor vs Virginica,100.00
72,Multi-Class (All 3),100.00
73,Setosa vs Rest,100.00
73,Versicolor vs Rest,0.00
73,Virginica vs Rest,100.00
73,Setosa vs Versicolor,100.00
73,Setosa vs Virginica,100.00
73,Versicolor vs Virginica,100.00
73,Multi-Class (All 3),100.00
74,Setosa vs Rest,100.00
74,Versicolor vs Rest,0.00
74,Virginica vs Rest,100.00
74,Setosa vs Versicolor,100.00
74,Setosa vs Virginica,100.00
74,Versicolor vs Virginica,100.00
74,Multi-Class (All 3),100.00
75,Setosa vs Rest,100.00
75,Versicolor vs Rest,0.00
75,Virginica vs Rest,100.00
75,Setosa vs Versicolor,100.00
75,Setosa vs Virginica,100.00
75,Versicolor vs Virginica,100.00
75,Multi-Class (All 3),100.00
76,Setosa vs Rest,100.00
76,Versicolor vs Rest,0.00
76,Virginica vs Rest,100.00
76,Setosa vs Versicolor,100.00
76,Setosa vs Virginica,100.00
76,Versicolor vs Virginica,100.00
76,Multi-Class (All 3),100.00
77,Setosa vs Rest,100.00
77,Versicolor vs Rest,0.00
77,Virginica vs Rest,100.00
77,Setosa vs Versicolor,100.00
77,Setosa vs Virginica,100.00
77,Versicolor vs Virginica,100.00
77,Multi-Class (All 3),100.00
78,Setosa vs Rest,100.00
78,Versicolor vs Rest,0.00
78,Virginica vs Rest,100.00
78,Setosa vs Versicolor,100.00
78,Setosa vs Virginica,100.00
78,Versicolor vs Virginica,100.00
78,Multi-Class (All 3),100.00
79,Setosa vs Rest,100.00
79,Versicolor vs Rest,0.00
79,Virginica vs Rest,100.00
79,Setosa vs Versicolor,100.00
79,Setosa vs Virginica,100.00
79,Versicolor vs Virginica,100.00
79,Multi-Class (All 3),100.00
80,Setosa vs Rest,100.00
80,Versicolor vs Rest,0.00
80,Virginica vs Rest,100.00
80,Setosa vs Versicolor,100.00
80,Setosa vs Virginica,100.00
80,Versicolor vs Virginica,100.00
80,Multi-Class (All 3),100.00
81,Setosa vs Rest,100.00
81,Versicolor vs Rest,0.00
81,Virginica vs Rest,100.00
81,Setosa vs Versicolor,100.00
81,Setosa vs Virginica,100.00
81,Versicolor vs Virginica,100.00
81,Multi-Class (All 3),100.00
82,Setosa vs Rest,100.00
82,Versicolor vs Rest,0.00
82,Virginica vs Rest,100.00
82,Setosa vs Versicolor,100.00
82,Setosa vs Virginica,100.00
82,Versicolor vs Virginica,100.00
82,Multi-Class (All 3),100.00
83,Setosa vs Rest,100.00
83,Versicolor vs Rest,0.00
83,Virginica vs Rest,100.00
83,Setosa vs Versicolor,100.00
83,Setosa vs Virginica,100.00
83,Versicolor vs Virginica,100.00
83,Multi-Class (All 3),100.00
84,Setosa vs Rest,100.00
84,Versicolor vs Rest,0.00
84,Virginica vs Rest,100.00
84,Setosa vs Versicolor,100.00
84,Setosa vs Virginica,100.00
84,Versicolor vs Virginica,100.00
84,Multi-Class (All 3),100.00
85,Setosa vs Rest,100.00
85,Versicolor vs Rest,0.00
85,Virginica vs Rest,100.00
85,Setosa vs Versicolor,100.00
85,Setosa vs Virginica,100.00
85,Versicolor vs Virginica,100.00
85,Multi-Class (All 3),100.00
86,Setosa vs Rest,100.00
86,Versicolor vs Rest,0.00
86,Virginica vs Rest,100.00
86,Setosa vs Versicolor,100.00
86,Setosa vs Virginica,100.00
86,Versicolor vs Virginica,100.00
86,Multi-Class (All 3),100.00
87,Setosa vs Rest,100.00
87,Versicolor vs Rest,0.00
87,Virginica vs Rest,100.00
87,Setosa vs Versicolor,100.00
87,Setosa vs Virginica,100.00
87,Versicolor vs Virginica,100.00
87,Multi-Class (All 3),100.00
88,Setosa vs Rest,100.00
88,Versicolor vs Rest,0.00
88,Virginica vs Rest,100.00
88,Setosa vs Versicolor,100.00
88,Setosa vs Virginica,100.00
88,Versicolor vs Virginica,100.00
88,Multi-Class (All 3),100.00
89,Setosa vs Rest,100.00
89,Versicolor vs Rest,0.00
89,Virginica vs Rest,100.00
89,Setosa vs Versicolor,100.00
89,Setosa vs Virginica,100.00
89,Versicolor vs Virginica,100.00
89,Multi-Class (All 3),100.00
90,Setosa vs Rest,100.00
90,Versicolor vs Rest,0.00
90,Virginica vs Rest,100.00
90,Setosa vs Versicolor,100.00
90,Setosa vs Virginica,100.00
90,Versicolor vs Virginica,100.00
90,Multi-Class (All 3),100.00
91,Setosa vs Rest,100.00
91,Versicolor vs Rest,46.67
91,Virginica vs Rest,100.00
91,Setosa vs Versicolor,100.00
91,Setosa vs Virginica,100.00
91,Versicolor vs Virginica,100.00
